checkpoint_success_rate,cosine_all,cosine_policy,cosine_shared,cosine_value,current_batch_mean_reward,diversity,event,norm_current_all,norm_current_policy,norm_current_shared,norm_current_value,norm_previous_all,norm_previous_policy,norm_previous_shared,norm_previous_value,phase,phase_env_steps,phase_fraction,previous_batch_mean_reward,previous_distribution_count,seed,total_env_steps,wall_time_seconds,subsequent_specialization_gain
1.0,0.08476670831441879,-0.13724379241466522,0.02756703831255436,0.9464953541755676,0.0155029296875,1,gradient_diagnostic,0.1664358228445053,0.13449493050575256,0.07628532499074936,0.061583660542964935,0.09569776058197021,0.06013434752821922,0.06282338500022888,0.03993925079703331,3,0,0.0,0.0050048828125,2,1,100663296,324.8364374637604,-0.22265625
0.962890625,0.021270422264933586,0.04228857532143593,-0.08905606716871262,-0.45627591013908386,0.01446533203125,1,gradient_diagnostic,0.15491722524166107,0.1540742814540863,0.01376250572502613,0.008429394103586674,0.17263832688331604,0.14402784407138824,0.05261941999197006,0.0793168693780899,3,25165824,0.5,0.005950927734375,2,1,125829120,1127.2041873931885,-0.185546875
0.939453125,0.14698883891105652,0.27979201078414917,0.07219906151294708,-0.019200420007109642,0.012969970703125,1,gradient_diagnostic,0.060966186225414276,0.05588959529995918,0.008439922705292702,0.022847240790724754,0.11189444363117218,0.06269868463277817,0.07537688314914703,0.053921859711408615,3,50331648,1.0,0.006195068359375,2,1,150994944,1883.2499520778656,-0.162109375
0.263671875,-0.11112742125988007,-0.15983916819095612,-0.20766808092594147,0.47948694229125977,0.001312255859375,1,gradient_diagnostic,0.49443623423576355,0.17117734253406525,0.44823986291885376,0.11935874819755554,0.0889495238661766,0.05372034013271332,0.059965841472148895,0.03781852871179581,4,0,0.0,0.007049560546875,3,1,150994944,1899.619679927826,0.5166015625
1.0,0.42619022727012634,0.5845839977264404,0.30681079626083374,0.46359339356422424,0.016693115234375,1,gradient_diagnostic,0.09148947149515152,0.0846494659781456,0.03327915817499161,0.009863553568720818,0.12364155054092407,0.07528331130743027,0.09156309813261032,0.035154759883880615,4,25165824,0.5,0.00830078125,3,1,176160768,29.09027099609375,-0.2197265625
0.92578125,0.007485107518732548,0.1816791296005249,-0.08123312145471573,0.49141210317611694,0.015655517578125,1,gradient_diagnostic,0.0707211121916771,0.06447259336709976,0.026584312319755554,0.011748852208256721,0.48717230558395386,0.06908348947763443,0.47518372535705566,0.08224809914827347,4,50331648,1.0,0.0081787109375,3,1,201326592,789.6535642147064,-0.1455078125
0.603515625,-0.028270460665225983,-0.028066543862223625,-0.0444929301738739,-0.45886877179145813,0.00628662109375,1,gradient_diagnostic,0.5598943829536438,0.16596364974975586,0.5199960470199585,0.12466706335544586,0.11225447058677673,0.10812801122665405,0.028124729171395302,0.010880988091230392,2,0,0.0,0.003570556640625,1,2,50331648,1418.9641950130463,-0.0390625
0.630859375,0.2824833393096924,0.2558276355266571,0.336174339056015,0.39691582322120667,0.008392333984375,1,gradient_diagnostic,0.0885772556066513,0.06747590750455856,0.056861527264118195,0.007726452779024839,0.18030117452144623,0.10869698226451874,0.1270170658826828,0.0675288513302803,2,25165824,0.5,0.003753662109375,1,2,75497472,2251.6242260932922,-0.06640625
0.638671875,0.09417447447776794,0.14517362415790558,-0.08310980349779129,0.44933995604515076,0.00799560546875,1,gradient_diagnostic,0.07027959078550339,0.06361471861600876,0.029344594106078148,0.00559318857267499,0.09420882910490036,0.0712425485253334,0.050515349954366684,0.035327084362506866,2,50331648,1.0,0.003692626953125,1,2,100663296,382.04990458488464,-0.07421875
1.0,-0.06277324259281158,0.04184651002287865,-0.15796570479869843,0.5969547033309937,0.015167236328125,1,gradient_diagnostic,0.33318984508514404,0.13706457614898682,0.29809632897377014,0.05802895501255989,0.09303458034992218,0.06305167824029922,0.06490491330623627,0.02161642350256443,3,0,0.0,0.005645751953125,2,2,100663296,389.59612798690796,-0.2373046875
0.9921875,0.10205565392971039,0.13558071851730347,-0.02265964262187481,0.8220006227493286,0.0164794921875,1,gradient_diagnostic,0.03183530643582344,0.03142135962843895,0.00419935118407011,0.002924114465713501,0.12031053751707077,0.06737513095140457,0.08806106448173523,0.04669545590877533,3,25165824,0.5,0.00531005859375,2,2,125829120,1077.8439898490906,-0.2294921875
0.99609375,-0.012387409806251526,-0.029536643996834755,0.002985768485814333,-0.1703079491853714,0.01446533203125,1,gradient_diagnostic,0.03944845125079155,0.039327193051576614,0.0030787598807364702,0.00027105637127533555,0.20110712945461273,0.08437521755695343,0.1778554618358612,0.041137970983982086,3,50331648,1.0,0.00579833984375,2,2,150994944,1755.3751740455627,-0.2333984375
0.900390625,-0.40649595856666565,0.38343968987464905,-0.49134108424186707,-0.36447831988334656,0.014312744140625,1,gradient_diagnostic,0.7995004057884216,0.15974296629428864,0.7567543387413025,0.20249921083450317,0.24943532049655914,0.09673885256052017,0.22783561050891876,0.03083024173974991,4,0,0.0,0.007598876953125,3,2,150994944,1762.7041018009186,-0.1240234375
