diversity,seed,target_phase,transition,previous_end_success,start_success,end_success,transfer_gap,specialization_gain,previous_end_depth6,start_depth6,end_depth6,transfer_gap_depth6,specialization_gain_depth6
64,2,2,d1->d2,0.3359375,0.4443359375,0.431640625,-0.1083984375,-0.0126953125,0.0,0.012658227848101266,0.017964071856287425,-0.012658227848101266,0.005305844008186159
64,2,3,d2->d3,0.431640625,0.404296875,0.392578125,0.02734375,-0.01171875,0.017964071856287425,0.0,0.0,0.017964071856287425,0.0
64,2,4,d3->d4,0.392578125,0.416015625,0.42578125,-0.0234375,0.009765625,0.0,0.0,0.0,0.0,0.0
64,3,2,d1->d2,0.3515625,0.4736328125,0.466796875,-0.1220703125,-0.0068359375,0.0,0.055944055944055944,0.02040816326530612,-0.055944055944055944,-0.03553589267874982
64,3,3,d2->d3,0.466796875,0.40234375,0.4033203125,0.064453125,0.0009765625,0.02040816326530612,0.0,0.0,0.02040816326530612,0.0
64,3,4,d3->d4,0.4033203125,0.3984375,0.4033203125,0.0048828125,0.0048828125,0.0,0.0,0.0,0.0,0.0
64,4,2,d1->d2,0.375,0.4697265625,0.44140625,-0.0947265625,-0.0283203125,0.0,0.034722222222222224,0.012121212121212121,-0.034722222222222224,-0.0226010101010101
64,4,3,d2->d3,0.44140625,0.4013671875,0.43359375,0.0400390625,0.0322265625,0.012121212121212121,0.0,0.0,0.012121212121212121,0.0
64,4,4,d3->d4,0.43359375,0.39453125,0.380859375,0.0390625,-0.013671875,0.0,0.0,0.0,0.0,0.0
256,0,2,d1->d2,0.3798828125,0.4169921875,0.0263671875,-0.037109375,-0.390625,0.0,0.00684931506849315,0.0,-0.00684931506849315,-0.00684931506849315
256,0,3,d2->d3,0.0263671875,0.025390625,0.38671875,0.0009765625,0.361328125,0.0,0.0,0.0,0.0,0.0
256,0,4,d3->d4,0.38671875,0.4013671875,0.3671875,-0.0146484375,-0.0341796875,0.0,0.0,0.0,0.0,0.0
256,1,2,d1->d2,0.341796875,0.4052734375,0.3974609375,-0.0634765625,-0.0078125,0.0,0.005780346820809248,0.0064516129032258064,-0.005780346820809248,0.0006712660824165582
256,1,3,d2->d3,0.3974609375,0.361328125,0.3828125,0.0361328125,0.021484375,0.0064516129032258064,0.0,0.0,0.0064516129032258064,0.0
